suburb,lat,lon
 Barwidgee,-37.6800,145.0100
 Barwite,-37.6700,145.0200
 Barwon Downs,-37.6700,145.0200
 Barwon Heads,-37.6400,145.0100
 Basalt,-37.6400,145.0100
 Bass,-37.7800,145.0300
 Batesford,-37.7800,145.0300
 Bathumi,-37.7700,145.0400
 Batman,-37.7700,145.0400
 Baw Baw,-37.7700,145.0400
 Baw Baw Village,-37.7500,145.0500
 Baxter,-37.7500,145.0500
 Bayindeen,-37.7500,145.0500
 Bayles,-37.7500,145.0500
 Baynton,-37.6700,145.0600
 Baynton East,-37.7000,145.0700
 Bayswater,-37.7000,145.0700
 Bayswater North,-37.7000,145.0700
 Beaconsfield,-37.7400,145.0900
 Beaconsfield Upper,-37.7400,145.0900
 Bealiba,-37.7400,145.0900
 Bearii,-37.7400,145.0900
 Bears Lagoon,-37.7400,145.0900
 Beauchamp,-37.7300,145.0700
 Beaufort,-37.7300,145.0700
 Beaumaris,-37.7300,145.0700
 Beazleys Bridge,-37.7200,145.0500
 Bedford Road,-37.7100,145.0800
 Beeac,-37.7100,145.0800
 Beech Forest,-37.7100,145.1200
 Beechworth,-37.7100,145.1200
 Beenak,-37.7100,145.1200
 Belgrave,-37.6400,145.2200
 Belgrave Heights,-37.6700,145.1200
 Belgrave South,-37.6400,145.1300
 Bell Park,-37.7300,145.0900
 Bell Post Hill,-37.7200,145.1200
 Bellarine,-37.7100,145.1500
 Bellbird Creek,-37.7100,145.1500
 Bellbrae,-37.7100,145.1500
 Bellbridge,-37.6700,145.1900
 Bellellen,-37.7000,145.2800
 Bellfield,-37.7000,145.2800
 Bells Beach,-37.5900,145.2200
 Belmont,-37.5900,145.2200
 Belvedere Park,-37.5900,145.2200
 Bemm River,-37.5900,145.2200
 Bena,-37.5900,145.2200
 Benalla,-37.8100,145.0400
 Benalla West,-37.8000,145.0500
 Benambra,-37.8100,145.0800
 Benayeo,-37.8100,145.0800
 Bend Of Islands,-37.7900,145.0700
 Bendigo,-37.7900,145.0700
 Bendigo,-37.7700,145.0800
 Bendigo DC,-37.7700,145.0800
 Bendigo Forward,-37.7700,145.1200
 Bendigo South,-37.7600,145.1000
 Bendoc,-37.7800,145.1200
 Bengworden,-37.8100,145.1900
 Benjeroop,-37.8100,145.1900
 Benloch,-37.8100,145.1900
 Bennettswood,-37.8100,145.1900
 Bennison,0.0000,0.0000
 Bentleigh,-38.1800,144.4700
 Bentleigh East,-37.7300,145.2200
 Benwerrin,-37.7300,145.2200
 Beremboke,-37.7800,145.2100
 Berrimal,-37.7400,145.2700
 Berringa,-37.7500,145.3300
 Berringama,-37.8300,145.0100
 Berriwillock,-37.8300,145.0100
 Berrybank,-37.8300,145.0100
 Berrys Creek,-37.8300,145.0100
 Berwick,-37.8300,145.0100
 Bessiebelle,-37.8300,145.0100
 Bet Bet,-37.8300,145.0100
 Bete Bolong,-37.8400,145.0500
 Bete Bolong North,-37.8400,145.0500
 Bethanga,-37.8400,145.0500
 Betley,-37.8400,145.0500
 Beulah,-37.8400,145.0500
 Beverford,-37.8300,145.0400
 Beveridge,-37.8300,145.0400
 Big Desert,-37.8200,145.0600
 Big Hill,-37.8200,145.0600
 Big Pats Creek,-37.8200,145.0600
 Biggara,-37.8200,145.0600
 Billabong,-37.8200,145.0600
 Bimbourie,-37.8400,145.1200
 Bindi,-37.8400,145.1200
 Binginwarri,-37.8400,145.1200
 Bingo Munjie,-37.8400,145.0900
 Birchip,-37.8400,145.0900
