suburb,lat,lon
 Curlewis,-38.2100,142.1500
 Curyo,-38.2100,142.1500
 Dadswells Bridge,-38.2700,141.9700
 Daisy Hill,-38.2700,141.9700
 Dales Creek,-38.2700,141.9700
 Dallas,-38.2700,141.9700
 Dalmore,-38.2700,141.9700
 Daltons Bridge,-38.2700,141.9700
 Dalyenong,-38.2700,141.9700
 Dalyston,-38.2700,141.9700
 Dandenong,-37.9700,141.8300
 Dandenong East,-37.9700,141.8300
 Dandenong North,-37.9700,141.8300
 Dandenong Plaza,-37.9700,141.8300
 Dandenong South,-38.1100,142.3200
 Dandongadale,-37.9000,142.1700
 Dargo,-37.9000,142.1700
 Darley,-37.9000,142.1700
 Darlimurla,-37.9000,142.1700
 Darling,-37.9000,142.1700
 Darling South,-38.0500,141.0100
 Darlington,-37.6400,142.5500
 Darnum,-37.6400,142.5500
 Darraweit Guim,-37.6400,142.5500
 Darriman,-37.6500,142.3400
 Dartmoor,-37.6500,142.3400
 Dartmouth,-37.6500,142.3400
 Dawson,-37.6500,142.3400
 Daylesford,-37.6500,142.3400
 Deakin University,-37.6500,142.3400
 Dean,-37.6500,142.3400
 Deans Marsh,-37.8800,141.9600
 Deddick Valley,-37.8800,141.9600
 Dederang,-37.7000,141.9300
 Deep Lead,-37.7000,141.9300
 Deer Park,-37.7000,141.9300
 Deer Park East,-37.7000,141.9300
 Deer Park North,-37.7000,141.9300
 Delacombe,-37.7000,141.9300
 Delahey,-37.7000,141.9300
 Delatite,-37.7000,141.9300
 Delburn,-37.7000,141.9300
 Dendy,-37.7000,141.9300
 Denicull Creek,-37.7000,141.9300
 Denison,-37.7000,141.9300
 Dennington,-37.7000,141.9300
 Denver,-37.7000,141.9300
 Deptford,-37.7000,141.9300
 Derby,-37.8600,141.7900
 Dereel,-37.8600,141.7900
 Dergholm,-38.0300,141.8100
 Derrimut,-38.0300,141.8100
 Derrinal,-38.0300,141.8100
 Derrinallum,-38.0300,141.8100
 Devenish,-38.0300,141.8100
 Devils River,-38.1500,141.9700
 Devon Meadows,-38.1500,141.9700
 Devon North,-38.1500,141.9700
 Dewhurst,-38.1500,141.9700
 Dhurringile,-38.1500,141.9700
 Diamond Creek,-38.1500,141.9700
 Digby,-38.1500,141.9700
 Diggers Rest,-38.1500,141.9700
 Diggora,-38.1500,141.9700
 Dimboola,-38.1500,141.9700
 Dingee,-38.1500,141.9700
 Dingley Village,-38.1500,141.9700
 Dingwall,-38.2700,141.6500
 Dinner Plain,-38.2700,141.6500
 Dixie,-38.2700,141.6500
 Dixons Creek,-38.2700,141.6500
 Dobie,-38.2700,141.6500
 Docker,-38.2700,141.6500
 Dockers Plains,-38.2700,141.6500
 Docklands,-38.2700,141.6500
 Doctors Flat,-38.2700,141.6500
 Dollar,-38.2700,141.6500
 Domain Road Po,-38.2700,141.6500
 Don Valley,-37.7900,141.5000
 Donald,-37.7200,141.5500
 Doncaster,-37.7200,141.5500
 Doncaster East,-37.5800,141.4100
 Doncaster Heights,-37.5800,141.4100
 Donnybrook,-37.6400,141.3700
 Donvale,-37.6400,141.3700
 Dooboobetic,-37.6400,141.3700
 Dooen,-37.6400,141.3700
 Dookie,-37.6400,141.3700
 Dookie College,-37.6400,141.3700
 Doreen,-37.6400,141.3700
 Dorodong,-37.6400,141.3700
 Double Bridges,-37.6400,141.3700
 Douglas,-37.6400,141.3700
 Doveton,-37.6400,141.3700
 Dreeite,-37.6400,141.3700
 Dreeite South,-37.6400,141.3700
 Driffield,-37.6400,141.3700
 Drik Drik,-37.6400,141.3700
 Dromana,-37.6400,141.3700
 Dropmore,-37.6400,141.3700
 Drouin,-37.6400,141.3700
 Drouin East,-37.6400,141.3700
 Drouin South,-37.5900,141.9400
 Drouin West,-37.5900,141.9400
 Drumanure,-37.5900,141.9400
 Drumborg,-37.5900,141.9400
 Drumcondra,-37.5900,141.9400
 Drummartin,-37.4400,141.7600
 Drummond,-37.4400,141.7600
 Drummond North,-37.4400,141.7600
 Drung,-37.4400,141.7600
 Dry Diggings,-37.4400,141.7600
 Drysdale,-37.4400,141.7600
 Duchembegarra,-37.4400,141.7600
 Dumbalk,-37.4400,141.7600
 Dumbalk North,-37.4400,141.7600
 Dumosa,-37.4400,141.7600
 Dunach,-37.4400,141.7600
 Dundonnell,-37.4400,141.7600
 Dunearn,-37.4400,141.7600
 Dunkeld,-37.4400,141.7600
 Dunkirk,-37.4400,141.7600
 Dunluce,-37.4400,141.7600
 Dunneworthy,-37.4400,141.7600
 Dunnstown,-37.1200,141.6000
 Dunolly,-36.9900,141.5100
 Dunrobin,-36.9900,141.5100
 Durdidwarrah,-36.9900,141.5100
 Durham Lead,-36.9900,141.5100
 Durham Ox,-36.9900,141.5100
 Dutson,-36.9900,141.5100
 Dutson Downs,-36.9900,141.5100
 Dutton Way,-36.9700,141.0800
 Duverney,-36.9700,141.0800
 Eagle Point,-36.9700,141.0800
 Eaglehawk,-38.1100,143.8600
 Eaglehawk North,-38.1100,143.8600
 Eaglemont,-38.1100,143.8600
 Earlston,-38.0300,143.6400
 East Bairnsdale,-37.9900,143.4900
 East Bendigo,-37.9900,143.4900
 East Geelong,-37.9900,143.4900
 East Melbourne,-37.9500,143.3400
 East Sale,-37.9500,143.3400
 East Wangaratta,-37.9500,143.2200
 East Warburton,-37.9500,143.2200
 Eastern View,-37.9500,143.2200
 Eastville,-37.9500,143.2200
 Ebden,-38.0400,144.0500
 Echuca,-38.0200,143.8600
 Echuca South,-38.0200,143.8600
 Echuca Village,-38.0200,143.8600
 Echuca West,-37.8400,143.6800
 Ecklin South,-38.0500,144.1700
 Eddington,-38.0500,144.1700
 Eden Park,-38.0500,144.1700
 Edenhope,-38.0500,144.1700
 Edgecombe,-38.0500,144.1700
 Edi,-38.0500,144.1700
 Edi Upper,-38.0500,144.1700
 Edithvale,-37.9600,144.1400
 Eganstown,-37.9200,144.0300
 Eildon,-37.9200,144.0300
 Elaine,-37.7100,144.0900
 Eldorado,-37.7100,144.0900
 Elevated Plains,-37.7100,144.0900
 Elingamite,-37.7100,144.0900
 Elingamite North,-37.7100,144.0900
 Ellaswood,-37.6900,144.6900
 Ellerslie,-37.6900,144.6900
 Elliminyt,-37.6800,144.5900
 Ellinbank,-37.6800,144.5900
 Elmhurst,-37.6800,144.5900
 Elmore,-37.6800,144.5900
 Elphinstone,-37.7000,144.5400
 Elsternwick,-37.7000,144.5400
 Eltham,-37.7000,144.5400
 Eltham North,-37.7000,144.5400
 Elwood,-37.6800,144.4400
 Emerald,-37.6800,144.4400
 Emu,-37.6800,144.4400
 Emu Creek,-37.6800,144.4400
 Endeavour Hills,-37.6800,144.4400
 Enfield,-37.6800,144.4400
 Englefield,-37.6800,144.4400
 Enochs Point,-37.6800,144.4400
 Ensay,-37.6800,144.4400
 Ensay North,-37.6800,144.4400
 Eppalock,-37.6800,144.4400
 Epping,-37.6800,144.4400
 Epping DC,-37.5200,144.3100
 Epsom,-37.5200,144.3100
 Ercildoune,-37.5200,144.3100
 Erica,-37.5200,144.3100
 Errinundra,-37.5200,144.3100
 Eskdale,-37.6000,144.2300
 Esmond,-37.6000,144.2300
 Essendon,-37.6000,144.2300
 Essendon Fields,-37.6000,144.2300
 Essendon North,-37.6000,144.2300
 Essendon West,-37.6000,144.2300
 Eumemmerring,-37.6000,144.2300
 Eurack,-37.6000,144.2300
 Eureka,-37.6000,144.2300
 Euroa,-37.5900,144.1000
 Eurobin,-37.5600,143.8200
 Evansford,-37.5600,143.8200
 Eversley,-37.5600,143.8200
 Everton,-37.5600,143.8200
 Everton Upper,-37.5600,143.8200
 Exford,-37.5600,143.8200
 Eynesbury,-37.5600,143.8200
 Fairbank,-37.5600,143.8200
 Fairfield,-37.5600,143.8200
 Fairhaven,-37.5600,143.8200
 Fairley,-37.5600,143.8200
 Fairy Dell,-37.5600,143.8200
 Falls Creek,-37.5600,143.8200
 Faraday,-37.5600,143.8200
 Fawcett,-37.5600,143.8200
 Fawkner,-37.5600,143.8200
 Fawkner East,-37.5600,143.8200
 Fawkner North,-37.5600,143.8200
 Fentons Creek,-37.5600,143.8200
 Ferguson,-37.5600,143.8200
 Fern Hill,-37.7700,143.6800
 Fernbank,-37.7700,143.6800
 Ferndale,-37.7700,143.6800
 Fernihurst,-37.7700,143.6800
 Fernshaw,-37.7700,143.6800
 Ferntree Gully,-37.7700,143.6800
 Ferny Creek,-37.7700,143.6800
 Fiery Flat,-37.7700,143.6800
 Fingal,-37.7700,143.6800
 Fish Creek,-37.7700,143.6800
 Fish Point,-37.7700,143.6800
 Fiskville,-37.7700,143.6800
 Fitzroy,-37.7700,143.6800
 Fitzroy North,-37.7700,143.6800
 Flaggy Creek,-37.7700,143.6800
 Flagstaff,-37.7700,143.6800
 Flamingo Beach,-37.7700,143.6800
 Flemington,-37.7700,143.6800
 Flinders,-37.7700,143.6800
 Flinders Lane,-37.7700,143.6800
 Flora Hill,-37.7700,143.6800
 Flowerdale,-37.7700,143.6800
 Flynn,-37.7700,143.6800
 Flynns Creek,-37.7700,143.6800
 Footscray,-37.7700,143.6800
 Forbes,-37.7700,143.6800
 Forest Hill,-37.3800,143.6700
 Forge Creek,-37.3800,143.6700
 Forrest,-37.3800,143.6700
 Foster,-37.3800,143.6700
 Foster North,-37.3800,143.6700
 Fosterville,-37.3800,143.6700
 Fountain Gate,-37.3800,143.6700
 Foxhow,-37.3800,143.6700
 Framlingham,-37.3800,143.6700
 Framlingham East,-37.3800,143.6700
 Franklinford,-37.3800,143.6700
 Frankston,-37.3800,143.6700
 Frankston East,-37.3800,143.6700
 Frankston Heights,-37.3800,143.6700
 Frankston North,-37.3800,143.6700
 Frankston South,-37.3800,143.6700
 Freeburgh,-37.3800,143.6700
 French Island,-37.3800,143.6700
 Frenchmans,-37.3800,143.6700
 Freshwater Creek,-37.3800,143.6700
 Fryerstown,-37.3800,143.6700
 Fulham,-37.3800,143.6700
 Fumina,-37.3800,143.6700
 Fumina South,-37.3800,143.6700
 Fyans Creek,-37.3800,143.6700
 Fyansford,-37.3800,143.6700
 Gaffneys Creek,-37.3800,143.6700
 Gainsborough,-37.3800,143.6700
 Gannawarra,-37.3800,143.6700
 Gapsted,-37.3800,143.6700
 Garden City,-37.3800,143.6700
 Gardenvale,-37.3800,143.6700
 Garfield,-37.3800,143.6700
 Garfield North,-37.3800,143.6700
 Garibaldi,-37.3800,143.6700
 Garvoc,-37.3800,143.6700
 Gateway Island,-37.3800,143.6700
 Gatum,-37.3800,143.6700
 Gazette,-37.3800,143.6700
 Geelong,-37.3800,143.6700
 Geelong MC,-37.3800,143.6700
 Geelong North,-37.3800,143.6700
 Geelong West,-37.3800,143.6700
 Gelantipy,-37.3800,143.6700
 Gellibrand,-37.3800,143.6700
 Gellibrand Lower,-37.3800,143.6700
 Gelliondale,-37.3800,143.6700
 Gembrook,-37.3800,143.6700
 Genoa,-37.3800,143.6700
 Gentle Annie,-37.3800,143.6700
 Georges Creek,-37.3800,143.6700
 Gerahmin,-37.3800,143.6700
 Gerang Gerung,-37.3800,143.6700
 Gerangamete,-37.3800,143.6700
 Germania,-37.3800,143.6700
 Germantown,-37.3800,143.6700
 Gerrigerrup,-37.3800,143.6700
 Gherang,-37.3800,143.6700
 Gheringhap,-37.3800,143.6700
 Ghin Ghin,-37.7800,144.8400
 Giffard,-37.5600,143.8700
 Giffard West,-37.5600,143.8700
 Gil Gil,-37.5500,143.8200
 Gilberton,-37.5500,143.8200
 Gilderoy,-37.5500,143.8200
 Gillieston,-37.5500,143.8200
 Gillum,-37.5900,143.8300
 Gippsland MC,-37.5900,143.8300
 Gipsy Point,-37.6500,143.9200
 Girgarre,-37.6500,143.9200
 Girgarre East,-37.6900,143.5600
 Gisborne,-37.6900,143.5600
 Gisborne South,-37.6900,143.5600
 Gladfield,-37.6900,143.5600
 Gladstone Park,-37.6900,143.5600
 Gladysdale,-37.7800,143.4100
 Glen Alvie,-37.7800,143.4100
 Glen Creek,-37.7800,143.4100
 Glen Forbes,-37.4200,143.8900
 Glen Huntly,-37.4200,143.8900
 Glen Iris,-37.4200,143.8900
 Glen Park,-37.4200,143.8900
 Glen Valley,-37.4200,143.8900
 Glen Waverley,-37.4200,143.8900
 Glen Wills,-37.4200,143.8900
 Glenaire,-37.3700,143.9400
 Glenaladale,-37.3700,143.9400
 Glenalbyn,-37.3700,143.9400
 Glenaroua,-37.3700,143.9400
 Glenbrae,-37.3700,143.9400
 Glenburn,-37.3700,143.9400
 Glendaruel,-37.3700,143.9400
 Glendonald,-37.3700,143.9400
 Glenfalloch,-37.3700,143.9400
 Glenferrie South,-37.3700,143.9400
 Glenfyne,-37.3700,143.9400
 Glengala,-37.3700,143.9400
 Glengarry,-37.3700,143.9400
 Glengarry North,-37.3700,143.9400
 Glengarry West,-37.3700,143.9400
 Glengower,-37.3700,143.9400
 Glenhope,-37.3700,143.9400
 Glenhope East,-37.3700,143.9400
 Glenisla,-37.3700,143.9400
 Glenlee,-37.3700,143.9400
 Glenlofty,-37.3700,143.9400
 Glenlogie,-37.3700,143.9400
 Glenloth,-37.2900,143.7900
 Glenloth East,-37.2900,143.7900
 Glenluce,-37.2900,143.7900
 Glenlyon,-37.2900,143.7900
 Glenmaggie,-37.1500,143.6700
 Glenmore,-37.1500,143.6700
 Glenorchy,-37.1500,143.6700
 Glenormiston North,-37.1500,143.6700
 Glenormiston South,-37.1500,143.6700
 Glenpatrick,-37.1500,143.6700
 Glenrowan,-37.1500,143.6700
 Glenrowan West,-37.1500,143.6700
 Glenroy,-37.1500,143.6700
 Glenthompson,-37.1500,143.6700
 Glomar Beach,-37.4300,143.3800
 Gnarwarre,-37.4300,143.3800
 Gnotuk,-37.4300,143.3800
 Gobarup,-37.4300,143.3800
 Gobur,-37.4300,143.3800
 Golden Beach,-37.4300,143.3800
 Golden Gully,-37.4300,143.3800
 Golden Point,-37.4300,143.3800
 Golden Square,-37.4300,143.3800
 Goldie,-37.4300,143.3800
 Goldsborough,-37.4300,143.3800
 Gong Gong,-37.5500,143.9330
 Gonn Crossing,-37.4300,143.1300
 Goomalibee,-37.4300,143.1300
 Goon Nure,-37.4300,143.1300
 Goongerah,-37.4300,143.1300
 Gooram,-37.2800,142.9300
 Gooramadda,-37.2800,142.9300
 Goorambat,-37.2800,142.9300
 Goornong,-37.2800,142.9300
 Gooroc,-37.2800,142.9300
 Gorae,-37.2800,142.9300
 Gorae West,-37.2800,142.9300
 Gordon,-37.2800,142.9300
 Gormandale,-37.2800,142.9300
 Goroke,-37.2800,142.9300
 Goschen,-37.2800,142.9300
 Goughs Bay,-37.2800,142.9300
 Goulburn Weir,-37.2800,142.9300
 Gowanbrae,-37.2800,142.9300
 Gowanford,-37.2800,142.9300
 Gowangardie,-37.2800,142.9300
 Gowar East,-37.2800,142.9300
 Gower,-37.2800,142.9300
 Grahamvale,-37.2800,142.9300
 Grampians,-37.2800,142.9300
 Grand Ridge,-37.5300,142.9400
 Granite Flat,-37.5300,142.9400
 Granite Rock,-37.5300,142.5200
 Grantville,-37.5300,142.5200
 Granya,-37.5300,142.5200
 Grass Flat,-37.5300,142.5200
 Grassdale,-37.5300,142.5200
 Grassmere,-37.5300,142.5200
 Grays Bridge,-37.5300,142.5200
 Graytown,-37.1600,142.7000
 Gre Gre,-37.1600,142.7000
 Gre Gre North,-36.9400,143.2100
 Gre Gre South,-36.9400,143.2100
 Great Southern,-36.9400,143.2100
 Great Western,-36.9400,143.2100
 Gredgwin,-36.9400,143.2100
 Green Gully,-36.9400,143.2100
 Greendale,-36.9400,143.2100
 Greenhill,-36.9400,143.2100
 Greens Creek,-36.9400,143.2100
 Greensborough,-36.9400,143.2100
 Greenvale,-36.9400,143.2100
 Greenwald,-36.9800,143.2000
 Grenville,-36.9800,143.2000
 Greta,-36.9800,143.2000
 Greta South,-36.9800,143.2000
 Greta West,-36.9800,143.2000
 Grey River,-36.9800,143.2000
 Greythorn,-36.9800,143.2000
 Gringegalgona,-36.9800,143.2000
 Gritjurk,-36.9800,143.2000
 Grovedale,-36.9800,143.2000
 Grovedale East,-36.9200,142.5100
 Gruyere,-36.9200,142.5100
 Guildford,-36.9200,142.5100
 Gunbower,-36.9200,142.5100
 Gundowring,-36.9200,142.5100
 Gunyah,-36.9200,142.5100
 Guys Forest,-36.9200,142.5100
 Guys Hill,-36.9200,142.5100
 Gymbowen,-36.6700,142.8700
 Haddon,-36.6700,142.8700
 Hadfield,-36.6700,142.8700
 Hallam,-36.6700,142.8700
 Hallora,-36.6700,142.8700
 Halls Gap,-36.6700,142.8700
 Hallston,-36.6700,142.8700
 Hamilton,-36.6700,142.8700
 Hamlyn Heights,-36.6700,142.8700
 Hampton,-36.6700,142.8700
 Hampton East,-36.6700,142.8700
 Hampton North,-36.5700,142.8200
 Hampton Park,-36.5700,142.8200
 Hansonville,-36.4500,142.4200
 Happy Valley,-36.4500,142.4200
 Happy Valley,-36.0700,142.5200
 Harcourt,-36.4600,142.5900
 Harcourt North,-36.4600,142.5900
 Harkaway,-36.4600,142.5900
 Harmers Haven,-36.3300,142.3600
 Harrietville,-36.3300,142.3600
 Harrow,-36.3300,142.3600
 Harston,-36.3300,142.3600
 Hartwell,-36.3300,142.3600
 Hastings,-36.3300,142.3600
 Hattah,-36.3300,142.3600
 Havelock,-36.3300,142.3600
 Haven,-36.3300,142.3600
 Havilah,-35.9400,142.4200
 Hawkesdale,-35.9400,142.4200
 Hawkhurst,-35.9400,142.4200
 Hawksburn,-35.9400,142.4200
 Hawthorn,-35.7300,142.3600
 Hawthorn East,-36.7100,142.2000
 Hawthorn North,-36.7100,142.2000
 Hawthorn West,-36.4600,142.3100
 Haydens Bog,-36.4600,142.3100
 Hazel Park,-36.4600,142.3100
 Hazeldene,-36.4600,142.3100
 Hazelwood,-36.4600,142.3100
 Hazelwood North,-36.4600,142.3100
 Hazelwood South,-36.4600,142.3100
 Healesville,-36.4600,142.3100
 Healesville Main Street,-36.4600,142.3100
 Healesville Post Shop,-36.4600,142.3100
 Heath Hill,-36.4600,142.3100
 Heathcote,-36.4600,142.3100
 Heathcote Junction,-36.4600,142.3100
 Heathcote South,-36.4600,142.3100
 Heatherton,-36.4600,142.3100
 Heathmere,-36.4600,142.3100
 Heathmont,-36.4600,142.3100
 Heathwood,-36.4600,142.3100
 Hedley,-36.4600,142.3100
 Heidelberg,-36.4600,142.3100
 Heidelberg Heights,-36.4600,142.3100
 Heidelberg Rgh,-36.4600,142.3100
 Heidelberg West,-36.4600,142.3100
 Hensley Park,-36.4600,142.3100
 Henty,-36.4600,142.3100
 Hepburn,-36.4600,142.3100
 Hepburn Springs,-36.4600,142.3100
 Herne Hill,-36.4600,142.3100
 Hernes Oak,-36.4600,142.3100
 Hesket,-36.4600,142.3100
 Hesse,-36.4600,142.3100
 Hexham,-36.4600,142.3100
 Heyfield,-36.4600,142.3100
 Heytesbury Lower,-37.1600,142.6700
 Heywood,-37.2500,141.8400
 Hiamdale,-37.2500,141.8400
 Hiawatha,-37.2500,141.8400
 High Camp,-37.2500,141.8400
 Highett,-37.2500,141.8400
 Highlands,-36.7800,141.7600
 Highpoint City,-36.7800,141.7600
 Highton,-36.7800,141.7600
 Hilgay,-36.7800,141.7600
 Hill End,-36.7800,141.7600
 Hillcrest,-36.7800,141.7600
 Hilldene,-36.7800,141.7600
 Hillside,-36.7800,141.7600
 Hinnomunjie,-36.7800,141.7600
 Hmas Cerberus,-36.7800,141.7600
 Hoddles Creek,-36.7800,141.7600
 Hollands Landing,-36.7500,141.4700
 Holmesglen,-36.7100,141.1800
 Homebush,-36.7100,141.1800
 Homerton,-36.7100,141.1800
 Homewood,-36.7100,141.1800
 Hopetoun,-36.3000,142.0200
 Hopetoun Gardens,-36.3000,142.0200
 Hopetoun Park,-36.3000,142.0200
 Hoppers Crossing,-36.3800,141.3600
 Hordern Vale,-36.1700,141.3300
 Horfield,-36.1700,141.3300
 Horsham,-36.1700,141.3300
 Horsham West,-36.1700,141.3300
 Hotham Heights,-36.1700,141.3300
 Hotham Hill,-36.1700,141.3300
 Hotspur,-36.1700,141.3300
 Houston,-36.1700,141.3300
 Howes Creek,-36.1700,141.3300
 Howitt Plains,-36.3800,141.2400
 Howqua,-36.3600,141.1200
 Howqua Hills,-36.3600,141.1200
 Howqua Inlet,-36.3600,141.1200
 Hughesdale,-36.1400,141.9900
 Humevale,-35.6900,141.9700
 Hunter,-35.6900,141.9700
 Hunterston,-35.6900,141.9700
 Huntingdale,-37.6300,144.7200
 Huntly,-37.6400,144.8000
 Huntly North,-37.5800,144.7300
 Huon,-37.5800,144.7300
 Huon Creek,-37.4800,144.7500
 Hurstbridge,-37.4600,144.6700
 Icy Creek,-37.4300,144.7800
 Iguana Creek,-37.6883,147.3494
 Illabarook,-37.3900,144.6400
 Illawarra,-37.3900,144.6400
 Illowa,-37.3900,144.6400
 Indented Head,-37.3900,144.6400
 Indigo Valley,-37.1900,144.6900
 Inglewood,-37.1900,144.6900
 Ingliston,-37.1900,144.6900
 Inkerman,-37.1900,144.6900
 Invergordon,-37.5200,144.4800
 Inverleigh,-37.5200,144.4800
 Inverloch,-37.5200,144.4800
 Invermay,-37.4600,144.6000
 Invermay Park,-37.4000,144.5900
 Iona,-37.4000,144.5900
 Iraak,-37.3900,144.4500
 Irishtown,-37.3900,144.4500
 Ironbark,-37.3900,144.4500
 Irrewarra,-37.3900,144.4500
 Irrewillipe,-37.3900,144.4500
 Irrewillipe East,-37.3900,144.4500
 Irymple,-37.3900,144.4500
 Ivanhoe,-37.3900,144.4500
 Ivanhoe East,-37.0900,144.5100
 Ivanhoe North,-37.0900,144.5100
 Jacana,-37.0900,144.5100
 Jack River,-37.0900,144.5100
 Jackass Flat,-37.0900,144.5100
 Jacob Creek,-37.0900,144.5100
 Jam Jerrup,-37.0900,144.5100
 Jamieson,-37.0900,144.5100
 Jan Juc,-37.0900,144.5100
 Jancourt,-37.0900,144.5100
 Jancourt East,-37.0900,144.5100
 Jarklin,-37.0900,144.5100
 Jarrahmond,-37.0900,144.5100
 Jarvis Creek,-37.0900,144.5100
 Jeeralang,-37.0900,144.5100
 Jeeralang Junction,-37.0900,144.5100
 Jeetho,-37.0900,144.5100
 Jeffcott,-37.0900,144.5100
 Jeffcott North,-37.0900,144.5100
 Jeparit,-37.0900,144.5100
 Jericho,-37.0900,144.5100
 Jeruk,-37.0900,144.5100
 Jil Jil,-37.2000,144.2900
 Jilpanger,-37.2000,144.2900
 Jindivick,-37.1300,144.3600
 Joel Joel,-37.1100,144.3400
 Joel South,-37.1100,144.3400
 Johanna,-37.1100,144.3400
 Johnsonville,-37.0600,144.2200
 Johnstones Hill,-37.0600,144.2200
 Jordanville,-37.0300,144.2400
 Joyces Creek,-37.0300,144.2400
 Jumbuk,-37.0300,144.2400
 Jumbunna,-37.0300,144.2400
 Junction Village,-37.0300,144.2400
 Jung,-37.0300,144.2400
 Jungaburra,-37.0300,144.2400
 Junortoun,-37.0300,144.2400
 Kaarimba,-37.0300,144.2400
 Kadnook,-37.0300,144.2400
 Kalimna,-37.0300,144.2400
 Kalimna West,-37.0300,144.2400
 Kalkallo,-37.0300,144.2400
 Kalkee,-37.0300,144.2400
 Kallista,-37.0300,144.2400
 Kalorama,-37.0300,144.2400
 Kalpienung,-37.0000,144.2600
 Kamarooka,-37.0000,144.2600
 Kamarooka North,-37.0000,144.2600
 Kanagulk,-37.0000,144.2600
 Kancoona,-37.4500,144.2900
 Kangaroo Flat,-37.4500,144.2900
 Kangaroo Ground,-37.4500,144.2900
 Kaniva,-37.4500,144.2900
 Kanumbra,-37.4500,144.2900
 Kanya,-37.4500,144.2900
 Kanyapella,-37.4500,144.2900
 Karabeal,-37.4500,144.2900
 Kardella,-37.4500,144.2900
 Kardella South,-37.3100,144.0900
 Kariah,-37.3100,144.0900
 Karingal,-37.3900,144.2200
 Karingal Centre,-37.3900,144.2200
 Karnak,-37.3900,144.2200
 Karramomus,-37.3900,144.2200
 Karyrie,-37.3900,144.2200
 Katamatite,-37.3900,144.2200
 Katamatite East,-37.3900,144.2200
 Katandra,-37.3900,144.2200
 Katandra West,-37.3900,144.2200
 Katunga,-37.3900,144.2200
 Kawarren,-37.3900,144.2200
 Kealba,-37.3900,144.2200
 Keely,-37.3900,144.2200
 Keilor,-37.3900,144.2200
 Keilor Downs,-37.3900,144.2200
 Keilor East,-37.3900,144.2200
 Keilor Lodge,-37.3900,144.2200
 Keilor North,-37.3900,144.2200
 Keilor Park,-37.3900,144.2200
 Kellalac,-37.3900,144.2200
 Kelvin View,-37.3900,144.2200
 Kenley,-37.3900,144.2200
 Kenmare,-37.3900,144.2200
 Kennedys Creek,-37.3900,144.2200
 Kennett River,-37.3900,144.2200
 Kennington,-37.3900,144.2200
 Kensington,-37.3900,144.2200
 Keon Park,-37.3900,144.2200
 Kerang,-37.1100,144.1000
 Kerang East,-37.1100,144.1000
 Kergunyah,-37.1100,144.1000
 Kergunyah South,-37.1100,144.1000
 Kernot,-37.1100,144.1000
 Kerrie,-37.1100,144.1000
 Kerrimuir,-36.9800,143.9500
 Kerrisdale,-36.9800,143.9500
 Kevington,-36.9800,143.9500
 Kew,-36.9800,143.9500
 Kew East,-36.9800,143.9500
 Kewell,-36.9800,143.9500
 Keysborough,-36.9800,143.9500
 Kialla,-36.9800,143.9500
 Kialla East,-36.9800,143.9500
 Kialla West,-36.9800,143.9500
 Kiata,-36.9800,143.9500
 Kiewa,-36.9800,143.9500
 Kilcunda,-37.0100,143.8000
 Killara,-37.0700,143.6800
 Killarney,-37.0700,143.6800
 Killawarra,-37.0700,143.6800
 Killingworth,-37.0700,143.6800
 Kilmany,-37.0700,143.6800
 Kilmore,-37.0700,143.6800
 Kilmore East,-37.0700,143.6800
 Kilsyth,-37.0700,143.6800
 Kilsyth South,-37.0700,143.6800
 Kimbolton,-37.0700,143.6800
 King Valley,-37.0700,143.6800
 Kinglake,-37.0700,143.6800
 Kinglake Central,-37.0700,143.6800
 Kinglake West,-37.0700,143.6800
 Kingower,-37.0700,143.6800
 Kings Park,-37.0700,143.6800
 Kingsbury,-37.0700,143.6800
 Kingston,-37.0700,143.6800
 Kingsville,-37.0700,143.6800
 Kingsville West,-37.0700,143.6800
 Kinnabulla,-37.0700,143.6800
 Kinypanial,-37.0900,143.4700
 Kirkstall,-37.1800,143.4000
 Kirwans Bridge,-37.1800,143.4000
 Kithbrook,-37.1800,143.2500
 Knebsworth,-37.1800,143.2500
 Knockwood,-37.1800,143.2500
 Knowsley,-37.1800,143.2500
 Knox City Centre,-37.1800,143.2500
 Knoxfield,-36.9200,143.7600
 Koallah,-36.9200,143.7600
 Koetong,-36.9200,143.7600
 Kolora,-36.9200,143.7600
 Kongwak,-36.9200,143.7600
 Konongwootong,-36.9200,143.7600
 Koo Wee Rup,-36.9200,143.7600
 Koo Wee Rup North,-36.9200,143.7600
 Kooloonong,-36.9200,143.7600
 Koonda,-36.9200,143.7600
 Koondrook,-36.9200,143.7600
 Koonoomoo,-36.8300,143.5000
 Koonwarra,-36.8300,143.5000
 Kooreh,-36.8300,143.5000
 Koorlong,-36.8300,143.5000
 Koornalla,-36.8300,143.5000
 Kooroocheang,-36.8300,143.5000
 Koorool,-36.8300,143.5000
 Koorooman,-38.4832,146.0455
 Kooyong,-37.9500,145.0500
 Koriella,-37.1569,145.6593
 Korobeit,-37.5200,144.3100
 Koroit,-38.2918,142.3673
 Korong Vale,-36.3566,143.7059
 Koroop,-35.7670,144.1000
 Korumburra,-38.4319,145.8326
 Korumburra South,-38.4641,145.8511
 Korweinguboora,-37.4500,144.1330
 Kotta,-36.2000,144.5330
 Kotupna,-36.1454,145.1294
 Koyuga,-36.2342,144.9026
 Krowera,-38.4330,145.6670
 Kulwin,-35.0330,142.6170
